timestamp,pid,proc_name,laddr,raddr,status,rinfo
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:58146,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:63695,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:49361,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:57125,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:57702,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:58461,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:58672,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:49182,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:60437,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:62160,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:58662,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,11736,svchost.exe,127.0.0.1:1900,,NONE,
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:60434,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,23328,msedge.exe,:::5353,,NONE,
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:59723,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:49333,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:53979,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,0,,192.168.1.2:52565,13.69.116.109:443,TIME_WAIT,UNKNOWN
2025-11-10 20:22:18,2468,svchost.exe,:::5355,,NONE,
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:53177,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:64723,35.186.224.45:443,ESTABLISHED,UNKNOWN
2025-11-10 20:22:18,19420,Time.exe,192.168.1.2:52794,35.186.224.45:443,ESTABLISHED,UNKNOWN
